chipUid;catchName;catchId;captureDate;captureCATUTTC;captureAddressPostCode;captureAddressAdminUnitL1;captureAddressAdminUnitL2;captureAddressAdminUnitL3;captureAddressAdminUnitL4;captureAddressPostName;captureAddressThoroughfare;captureAddressLocatorDesignator;captureAddressLocatorBuilding;captureAddressDescription;captureLat;captureLon;animalSpecies;animalBreed;animalSex;animalColor;animalAge;animalFur;animalHeight;animalWeight;vaccinationsInfo;isSterilizationInfo;veterinary Name;veterinary Id;releasedDate;releaseCATUTTC;releasedAddressPostCode;releasedAddressAdminUnitL1;releasedAddressAdminUnitL2;releasedAddressAdminUnitL3;releasedAddressAdminUnitL4;releasedAddressPostName;releasedAddressThoroughfare;releasedAddressLocatorDesignator;releasedAddressLocatorBuilding;releasedAddressDescription;releasedLat;releasedLon
2334;"КП ""Полігон ТПВ""";3364590;15.01.2024;UA26040190000081578;76492;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с. Микитинці;null;null;null;null;null;null;собака;null;2;руда;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;28.01.2024;UA26040190000081578;76492;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с. Микитинці;null;null;null;null;null;null
2340;"КП ""Полігон ТПВ""";3364590;22.01.2023;UA26040190000081578;77441;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с. Підпечари;null;null;null;null;null;null;собака;null;2;трьохколірна;1 рік;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;31.01.2024;UA26040190000081578;77441;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с. Підпечари;null;null;null;null;null;null
2341;"КП ""Полігон ТПВ""";3364590;22.01.2023;UA26040190000081578;77441;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с. Підпечари;null;null;null;null;null;null;собака;null;2;трьохколірна;1 рік;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;31.01.2024;UA26040190000081578;77441;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с. Підпечари;null;null;null;null;null;null
2342;"КП ""Полігон ТПВ""";3364590;06.02.2024;UA26040190000081578;76493;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Крихівці;Калинова Слобода;null;null;null;null;null;собака;null;2;чорна;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;02.06.2024;UA26040190000081578;76493;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с.Крихівці;null;null;null;null;null;null
2343;"КП ""Полігон ТПВ""";3364590;05.02.2024;UA26040190000081578;76492;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Угорники;null;null;null;null;null;null;собака;null;1;чорний;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;04.02.2024;UA26040190000081578;76492;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с.Угорники;null;null;null;null;null;null
2093;"КП ""Полігон ТПВ""";3364590;01.02.2023;UA26040190000081578;76009;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Січеславської;null;null;null;null;null;собака;null;2;темно-руда;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;null;UA26040190000081578;76009;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Січеславської;null;null;null;null;null
2094;"КП ""Полігон ТПВ""";3364590;01.02.2024;UA26040190000081578;76002;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Хриплинська;null;null;null;null;null;собака;null;2;чорна з підпалом;1 рік;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;08.02.2024;UA26040190000081578;76002;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул. Хриплинська;null;null;null;null;null
2095;"КП ""Полігон ТПВ""";3364590;02.02.2024;UA26040190000081578;76002;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Хриплинська;null;null;null;null;null;собака;null;2;чорна з підпалом;1 рік;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;02.02.2024;UA26040190000081578;76002;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул. Хриплинська;null;null;null;null;null
2096;"КП ""Полігон ТПВ""";3364590;03.02.2024;UA26040190000081578;76005;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Довженка;null;null;null;null;null;собака;null;2;біла;1 рік;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;08.02.2024;UA26040190000081578;76005;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;прилаштована;null;null;null;null;null
2097;"КП ""Полігон ТПВ""";3364590;03.02.2024;UA26040190000081578;76492;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Сеченова;null;null;null;null;null;собака;null;2;чорна з підпалом;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;08.02.2024;UA26040190000081578;76492;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Сеченова;null;null;null;null;null
2344;"КП ""Полігон ТПВ""";3364590;01.02.2024;UA26040190000081578;76495;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Хриплин;null;null;null;null;null;null;собака;null;2;двохколірна;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;05.02.2024;UA26040190000081578;76495;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с. Хриплин;null;null;null;null;null;null
2345;"КП ""Полігон ТПВ""";3364590;04.02.2024;UA26040190000081578;76014;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Опришівці;біля церкви;null;null;null;null;null;собака;null;2;чорнокоричнева;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;09.02.2024;UA26040190000081578;76014;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с.Опришівці;null;null;null;null;null;null
2346;"КП ""Полігон ТПВ""";3364590;05.02.2024;UA26040190000081578;77457;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с. Радча;магазин Вікторія;null;null;null;null;null;собака;null;2;трьохколірна;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;10.02.2024;UA26040190000081578;77457;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с. Радча;магазин Вікторія;null;null;null;null;null
2347;"КП ""Полігон ТПВ""";3364590;06.02.2024;UA26040190000081578;76006;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Миколайчука;17б;null;null;null;null;собака;null;2;чепрана;1 рік;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;11.02.2024;UA26040190000081578;76006;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Миколайчука 17 б;null;null;null;null;null
2349;"КП ""Полігон ТПВ""";3364590;08.02.2024;UA26040190000081578;76071;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Декабристів;null;null;null;null;null;собака;null;2;біло-чорна;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;12.02.2024;UA26040190000081578;76071;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Декабристів;null;null;null;null;null
2352;"КП ""Полігон ТПВ""";3364590;13.02.2024;UA26040190000081578;76006;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Симоненка;null;null;null;null;null;собака;null;2;темно-руда;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;23.02.2024;UA26040190000081578;76006;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Симоненка;null;null;null;null;null
2354;"КП ""Полігон ТПВ""";3364590;16.02.2024;UA26040190000081578;76494;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Юності;null;null;null;null;null;собака;null;2;3-х колірна;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;21.02.2024;UA26040190000081578;76494;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Юності;null;null;null;null;null
2356;"КП ""Полігон ТПВ""";3364590;21.02.2024;UA26040190000081578;76010;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Кривоноса;null;null;null;null;null;собака;null;2;чорна;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;21.02.2024;UA26040190000081578;76010;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Кривоноса;null;null;null;null;null
2357;"КП ""Полігон ТПВ""";3364590;20.02.2024;UA26040190000081578;76014;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Василишина;null;null;null;null;null;собака;null;2;трьохколірна;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;25.02.2024;UA26040190000081578;76014;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул. Василишина;null;null;null;null;null
2359;"КП ""Полігон ТПВ""";3364590;22.02.2024;UA26040190000081578;76000;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Федьковича;null;null;null;null;null;собака;null;1;чорний з підпалом;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;07.03.2024;UA26040190000081578;76000;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;райноІФТУНГ;null;null;null;null;null
2380;"КП ""Полігон ТПВ""";3364590;04.03.2024;UA26040190000081578;76014;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Коновальця;null;null;null;null;null;собака;null;2;чепрана;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;08.03.2024;UA26040190000081578;76014;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул. Коновальця;null;null;null;null;null
2384;"КП ""Полігон ТПВ""";3364590;04.03.2024;UA26040190000081578;76006;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Максимовича;18;null;null;null;null;собака;null;1;чорний з підпалом;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;15.03.2024;UA26040190000081578;76006;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;прилаштована;null;null;null;null;null
2528;"КП ""Полігон ТПВ""";3364590;12.03.2024;UA26040190000081578;76492;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Тополина ;6;null;null;null;null;собака;null;2;чорна;null;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;12.09.2024;UA26040190000081578;76492;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Тополина ;null;null;null;null;null
2385;"КП ""Полігон ТПВ""";3364590;19.03.2024;UA26040190000081578;76014;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Медична;null;null;null;null;null;собака;null;2;світлоруда;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;22.03.2024;UA26040190000081578;76014;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Медична;null;null;null;null;null
2395;"КП ""Полігон ТПВ""";3364590;25.03.2024;UA26040190000081578;76010;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Ленкавського;null;null;null;null;null;собака;null;1;чорний з підпалом;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;25.03.2024;UA26040190000081578;76010;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Ленкавського;null;null;null;null;null
2365;"КП ""Полігон ТПВ""";3364590;07.03.2024;UA26040190000081578;76018;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Мазепи ;район озера;null;null;null;null;собака;null;2;чорна з підпалом;6-8 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;15.03.2024;UA26040190000081578;76018;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул. Мазепи ;null;null;null;null;null
2397;"КП ""Полігон ТПВ""";3364590;08.04.2024;UA26040190000081578;76014;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Коновальця;null;null;null;null;null;собака;null;2;чорна з підпалом;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;12.04.2024;UA26040190000081578;76018;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Коновальця;null;null;null;null;null
2398;"КП ""Полігон ТПВ""";3364590;08.04.2024;UA26040190000081578;76006;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Урожайна;null;null;null;null;null;собака;null;1;чорний;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;21.04.2024;UA26040190000081578;76006;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Коновальця;null;null;null;null;null
2403;"КП ""Полігон ТПВ""";3364590;09.04.2024;UA26040190000081578;76018;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Мазепи ;null;null;null;null;null;собака;null;1;чорний;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;16.04.2024;UA26040190000081578;76018;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул. Мазепи ;null;null;null;null;null
2399;"КП ""Полігон ТПВ""";3364590;09.04.2024;UA26040190000081578;76008;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Пасічна;null;null;null;null;null;собака;null;1;чорний з підпалом;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;16.04.2024;UA26040190000081578;76008;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Пасічна;null;null;null;null;null
2401;"КП ""Полігон ТПВ""";3364590;09.04.2024;UA26040190000081578;77457;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Радча;null;null;null;null;null;null;собака;null;2;сіра;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;16.04.2024;UA26040190000081578;77457;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с.Радча;null;null;null;null;null;null
2400;"КП ""Полігон ТПВ""";3364590;09.04.2024;UA26040190000081578;77457;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Радча;null;null;null;null;null;null;собака;null;2;сіра;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;16.04.2024;UA26040190000081578;77457;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;прилаштована;null;null;null;null;null;null
2404;"КП ""Полігон ТПВ""";3364590;12.04.2024;UA26040190000081578;77458;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Чукалівка;null;null;null;null;null;null;собака;null;2;чорна з підпалом;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;16.04.2024;UA26040190000081578;77458;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с.Чукалівка;null;null;null;null;null;null
2405;"КП ""Полігон ТПВ""";3364590;16.04.2024;UA26040190000081578;35646;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Підлужжя;null;null;null;null;null;null;собака;null;2;чепрана;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;17.04.2024;UA26040190000081578;35646;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с.Підлужжя;null;null;null;null;null;null
2407;"КП ""Полігон ТПВ""";3364590;21.04.2024;UA26040190000081578;76000;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;;вул. Вовчинецька;null;null;null;null;null;собака;null;2;біла;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;null;UA26040190000081578;76000;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;null;null;null;null;null;null;null
2407;"КП ""Полігон ТПВ""";3364590;22.04.2024;UA26040190000081578;76009;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Івана Павла2;null;null;null;null;null;собака;null;1;коричневий;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;23.04.2024;UA26040190000081578;76009;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Івана Павла2;null;null;null;null;null
2408;"КП ""Полігон ТПВ""";3364590;26.04.2024;UA26040190000081578;76494;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Юності;null;null;null;null;null;собака;null;2;чорна з підпалом;6-8 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;29.04.2024;UA26040190000081578;76494;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Юності;null;null;null;null;null
2409;"КП ""Полігон ТПВ""";3364590;29.04.2024;UA26040190000081578;76000;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Витвицького;null;null;null;null;null;собака;null;2;чорна з підпалом;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;03.05.2024;UA26040190000081578;76000;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Витвицького;null;null;null;null;null
2413;"КП ""Полігон ТПВ""";3364590;10.02.2024;UA26040190000081578;76010;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Сотника Дідича;null;null;null;null;null;собака;null;2;чорна;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;20.05.2024;UA26040190000081578;76010;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Сотника Дідича;null;null;null;null;null
2413;"КП ""Полігон ТПВ""";3364590;10.05.2024;UA26040190000081578;76010;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Сотника Дідича;null;null;null;null;null;собака;null;2;чорна;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;20.05.2024;UA26040190000081578;76010;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Сотника Дідича;null;null;null;null;null
2415;"КП ""Полігон ТПВ""";3364590;10.05.2024;UA26040190000081578;76014;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Коновальця-Медична;null;null;null;null;null;собака;null;2;чепрана;1 рік;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;15.05.2024;UA26040190000081578;76014;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Коновальця-Медична;null;null;null;null;null
2419;"КП ""Полігон ТПВ""";3364590;15.05.2024;UA26040190000081578;76008;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Целевича ;18а;null;null;null;null;собака;null;2;чорна з підпалом;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;15.05.2024;UA26040190000081578;76008;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Целевича ;18а;null;null;null;null
2420;"КП ""Полігон ТПВ""";3364590;03.06.2024;UA26040190000081578;77423;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Угрнинів;null;null;null;null;null;null;собака;null;2;коричнева;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;03.06.2024;UA26040190000081578;77423;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Угрнинів;null;null;null;null;null;null
2421;"КП ""Полігон ТПВ""";3364590;04.06.2024;UA26040190000081578;76018;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Новгородська;null;null;null;null;null;собака;null;2;чорна;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;10.06.2024;UA26040190000081578;76018;Україна;Івано-Франківська обл;;Івано-Франківська;Івано-Франківськ;вул. Новгородська;null;null;null;null;null
2424;"КП ""Полігон ТПВ""";3364590;04.06.2024;UA26040190000081578;77460;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Черніїв;дачі Діброва;null;null;null;null;null;собака;null;2;чорна з підпалом;1 рік;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;14.06.2024;UA26040190000081578;77460;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Черніїв;дачі Діброва;null;null;null;null;null
2425;"КП ""Полігон ТПВ""";3364590;04.06.2024;UA26040190000081578;77458;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Чукалівка;міське кладовище;null;null;null;null;null;собака;null;2;сіра;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;14.06.2024;UA26040190000081578;77458;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Чукалівка;міське кладовище;null;null;null;null;null
2427;"КП ""Полігон ТПВ""";3364590;05.06.2024;UA26040190000081578;76000;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Олексишина;null;null;null;null;null;собака;null;2;чорна з підпалом;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;14.06.2024;UA26040190000081578;76000;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Олексишина;null;null;null;null;null
